"ENSCHEDE";"http://www.ov-fiets.nl/huurlocaties?locatie=Enschede&POST_AUTOCOMPLETE=/huurlocaties.xml";"POINT(766973.480447129 6840309.53571166)";"Station Enschede";"Rijwielstalling Enschede";"Stationsplein 33";"7511 JD";"Enschede";"maandag - vrijdag: 7.00 - 19.00 uur; zaterdag: 8.00 - 19.00 uur; zondag: 9.00 - 19.00 uur; 25 & 26 december: gesloten; 31 december: 9.00 - 19.00; 1 januari: gesloten";"U kunt uw OV-fiets ook na sluitingstijd terugbrengen. Dat kan tot de laatste trein: rond 1.40 uur. Zet de OV-fiets dan in het daarvoor bestemde rek (na de hoofdingang aan de rechterkant) op slot en gooi het sleuteltje in de metalen brievenbus. Let op: u doet dit op eigen risico en uw OV-fiets wordt pas de volgende ochtend rond openingstijd uitgescand";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=Stationsplein+33,+Enschede"
"ALMELO";"http://www.ov-fiets.nl/huurlocaties?locatie=almelo&POST_AUTOCOMPLETE=/huurlocaties.xml";"POINT(741089.472447877 6864778.07784468)";"Station Almelo";"Van Schagen Rijwielshop";"Stationsplein 1";"7607 GD";"Almelo";"maandag - vrijdag: 7.00 - 13.00 uur en 16.00 - 19.00 uur; zaterdag en zondag: gesloten; Let op, in juli en augustus zijn de openingstijden aangepast: maandag - vrijdag: 7.00 - 10.00 uur en 16.00 - 19.00 uur; zaterdag en zondag: gesloten";"";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=Stationsplein+1,+Almelo"
"RAALTE";"http://www.ov-fiets.nl/huurlocaties?locatie=raalte&POST_AUTOCOMPLETE=/huurlocaties.xml";"POINT(698882.687513607 6871077.84614201)";"Station Raalte";"";"";"";"";"maandag - zondag: 24 uur per dag";"Hier huurt u OV-fietsen uit automatische OV-fietskluizen met uw pincode van OV-fiets, zie gebruiksaanwijzing. De kluizen zijn te vinden vanaf het perron loop het spoor over en direct naar rechts het eerste pad de fietsenstalling in. De kluizen zijn te vinden aan de rechterkant. Zelfservice huurlocatie: Om hier OV-fietsen te kunnen huren, hebt u uw pas en pincode nodig";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=Stationsweg+Raalte"
"HARDENBERG";"http://www.ov-fiets.nl/huurlocaties?locatie=hardenberg&POST_AUTOCOMPLETE=/huurlocaties.xml";"POINT(737944.696832967 6904687.51214798)";"Station Hardenberg";"";"Lage Gaardenstraat";"";"Hardenberg";"maandag - zondag: 24 uur per dag";"Loop het perron af en steek het spoor over. Achterin de fietsenstalling vindt u zes OV-fietskluizen. Om hier OV-fietsen te kunnen huren, hebt u uw pas en pincode nodig";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=Stationsweg+Hardenberg"
"DALFSEN";"http://www.ov-fiets.nl/huurlocaties?locatie=dalfsen&POST_AUTOCOMPLETE=/huurlocaties.xml";"POINT(696799.899840864 6890721.72130506)";"Station Dalfsen";"";"";"";"";"maandag - zondag: 24 uur per dag";"Om hier OV-fietsen te kunnen huren, hebt u uw pas en pincode nodig";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=Stationsweg,+Dalfsen"
"ZWOLLE";"http://www.ov-fiets.nl/huurlocaties?locatie=Zwolle&POST_AUTOCOMPLETE=/huurlocaties.xml#zwolle";"POINT(678019.18854913 6892122.51249577)";"Station Zwolle";"Rijwielshop Zwolle";"Stationsplein 15";"8011 CW";"Zwolle";"maandag - vrijdag: 5.05 - 24.00 uur; zaterdag: 6.30 - 24.00 uur; zondag: 7.30 - 24.00 uur";"Loop de stationshal uit en sla linksaf. Recht vooruit vindt u de Rijwielshop. U kunt hier Stallen-Op-Pas";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=Stationsplein+15,+Zwolle"
"ZWOLLE HANZELAND-ZUIDZIJDE";"http://www.ov-fiets.nl/huurlocaties?locatie=Zwolle&POST_AUTOCOMPLETE=/huurlocaties.xml#zwolle-hanzeland-zuidzijde";"POINT(678053.697591276 6891954.25835832)";"Station Zwolle";"";"";"";"";"maandag - zondag vanaf een kwartier voor de eerste tot een kwartier na de laatste trein";"Om hier OV-fietsen te kunnen huren, hebt u uw pas en pincode nodig";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=Stationsplein+15,+Zwolle"
"WIJHE";"http://www.ov-fiets.nl/huurlocaties?locatie=wijhe&POST_AUTOCOMPLETE=/huurlocaties.xml";"POINT(680557.272939217 6861064.34421629)";"Station Wijhe";"";"";"";"";"OV-fietskluizen maandag - zondag: 24 uur per dag";"De kluizen zijn te vinden in de fietsenstalling naast de kaartenautomaat bij de spoorwegovergang. Om hier OV-fietsen te kunnen huren, hebt u uw pas en pincode nodig";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=Station+Wijhe"
"DEVENTER";"http://www.ov-fiets.nl/huurlocaties?locatie=Deventer&POST_AUTOCOMPLETE=/huurlocaties.xml#deventer";"POINT(685842.611042591 6846658.76161545)";"Station Deventer";"Dick's Fietspoint";"Stationsplein 2";"7411 HB";"Deventer";"maandag - vrijdag: 7.00 - 19.00 uur; zaterdag: 8.00 - 19.00 uur; zondag: gesloten";"Achter de taxi's ziet u een glazen dak. Neem de trappen daarachter naar beneden. Daar vindt u Dick's Fietspoint";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=Stationsweg+Deventer"
"DEVENTER COLMSCHATE";"http://www.ov-fiets.nl/huurlocaties?locatie=Deventer&POST_AUTOCOMPLETE=/huurlocaties.xml#deventer-colmschate";"POINT(691908.521415407 6845548.23637021)";"Station Deventer Colmschate";"";"";"";"";"maandag - zondag: 24 uur per dag";"De kluizen bevinden zich aan de zijde van het winkelcentrum in de fietsenstalling van het station. Het zijn de kluizen F1 t/m F4. Om hier OV-fietsen te kunnen huren, hebt u uw pas en pincode nodig";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=stationsweg+Colmschate"
"ZUTPHEN";"http://www.ov-fiets.nl/huurlocaties?locatie=Zutphen&POST_AUTOCOMPLETE=/huurlocaties.xml";"POINT(689718.867031504 6826340.54619237)";"Station Zutphen";"Fietspoint Zutphen";"Stationsplein 12";"7201 ML";"Zutphen";"maandag - vrijdag: 5.30 - 1.30 uur; zaterdag: 6.15 - 1.30 uur; zondag: 7.15 - 1.30 uur";"";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=stationsplein+12,+Zutphen"
"WINTERSWIJK";"http://www.ov-fiets.nl/huurlocaties?locatie=Winterswijk&POST_AUTOCOMPLETE=/huurlocaties.xml";"POINT(747560.474447688 6794296.33998188)";"Station Winterswijk";"";"Kleine Parallelweg";"";"Winterswijk";"OV-fietskluizen maandag - zondag: 24 uur per dag";"De kluizen van OV-fiets staan vlak langs spoor 1B. Om hier OV-fietsen te kunnen huren, hebt u uw pas en pincode nodig";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=kleine+parallelweg,+Winterswijk"
"VARSSEVELD";"http://www.ov-fiets.nl/huurlocaties?locatie=Varsseveld&POST_AUTOCOMPLETE=/huurlocaties.xml";"POINT(718909.063907317 6788792.8090442)";"Station Varsseveld";"";"";"";"";"maandag - zondag: 24 uur per dag";"De kluizen bevinden zich rechts van het perron. Om hier OV-fietsen te kunnen huren, hebt u uw pas en pincode nodig";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=station+Varsseveld"
"OLDENZAAL";"http://www.ov-fiets.nl/huurlocaties?locatie=Oldenzaal&POST_AUTOCOMPLETE=/huurlocaties.xml";"SRID=4326;POINT(6.93371 52.3064)";"Station Oldenzaal";"";"Stationsstraat";"";"";"OV-fietskluizen; Maandag - zondag 24 uur per dag";"Loop het perron af, u vindt de OV-fietskluizen linksaf in de fietsenstalling. Om hier OV-fietsen te kunnen huren, hebt u uw pas en pincode nodig";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=stationsstraat,+Oldenzaal"
"VRIEZENVEEN";"http://www.ov-fiets.nl/huurlocaties?locatie=Vriezenveen&POST_AUTOCOMPLETE=/huurlocaties.xml";"SRID=4326;POINT(6.60089 52.40158)";"Station Vriezenveen";"";"";"";"";"maandag - zondag: 24 uur per dag";"U loopt het perron af, dan direct links de fietsenstalling in. Het zijn de kluizen B1 t/m B4. Op dit station huurt u uw OV-fietsen uit automatische OV-fietskluizen. Hiervoor heeft u altijd uw pincode van OV-fiets nodig. Om hier OV-fietsen te kunnen huren, hebt u uw pas en pincode nodig";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=station+Vriezenveen"
"VROOMSHOOP";"http://www.ov-fiets.nl/huurlocaties?locatie=Vroomhoop&POST_AUTOCOMPLETE=/huurlocaties.xml";"SRID=4326;POINT(6.57211 52.45748)";"Station Vroomshoop";"";"";"";"";"maandag - zondag: 24 uur per dag";"Perron aflopen en dan links de fietsenstalling in. Het zijn de kluizen B1 t/m B4. Op dit station huurt u uw OV-fietsen uit automatische OV-fietskluizen. Hiervoor heeft u altijd uw pincode van OV-fiets nodig. Om hier OV-fietsen te kunnen huren, hebt u uw pas en pincode nodig";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=station+Vroomshoop"
"DELDEN";"http://www.ov-fiets.nl/huurlocaties?locatie=Delden&POST_AUTOCOMPLETE=/huurlocaties.xml";"SRID=4326;POINT(6.71482 52.26021)";"Station Delden";"";"";"";"";"maandag - zondag: 24 uur per dag";"De kluizen zijn links in de fietsenstalling te vinden. Om hier OV-fietsen te kunnen huren, hebt u uw pas en pincode nodig";"http://www.fietsrouteplanner.info/fietsrouteplanner/?herkomst=station+Delden"
